@relation pca_music

@attribute Band_Energy_Mean continuous
@attribute Chroma_stft_mean continuous
@attribute Mean_ZCR continuous
@attribute MFCC_delta_std continuous
@attribute Total_beats continuous
@attribute Mean_Spectral_Flux continuous
@attribute Band_Ratio_StdDev continuous
@attribute b4 continuous
@attribute MFCC_delta_mean continuous
@attribute Average_beats continuous
@attribute MFCC_delta_variance continuous
@attribute b5 continuous
@attribute Spectral_Roll_Off continuous
@attribute ZCR_StdDev continuous
@attribute genre {pop,electronic,rap,folk,rock,classical}

@data
3.664863,-0.44912,0.195912,-3.881525,1.962524,-1.924425,0.944991,1.274337,2.313331,-0.319343,0.243267,0.370413,0.632188,0.291524,pop
1.945531,-1.231651,2.398434,-0.832513,1.042518,0.273305,1.79316,0.118159,-0.44549,1.883057,-0.78926,-0.306707,-0.430334,-0.7699,pop
3.910696,0.038978,0.342647,-3.651017,0.555721,-1.848662,0.558321,1.204671,2.473328,1.079907,-0.483828,0.374046,0.683117,0.097179,pop
1.552066,0.147291,0.914048,0.43552,-1.732701,1.07694,0.956329,0.019164,0.166673,-0.032934,0.107875,-1.179671,0.410802,0.455223,pop
1.348505,1.270626,1.664255,0.56801,0.978719,2.291837,1.528023,-0.544338,0.594427,1.419432,-0.976046,-0.131876,-0.226729,0.393941,pop
2.940985,0.744463,0.453261,-0.937102,-0.260369,0.810992,1.621792,-0.325245,0.452401,0.528373,0.809904,-0.621058,-0.248134,-0.022387,pop
2.298705,0.860064,0.665352,-0.814211,1.02237,1.275801,2.011813,-0.656996,0.596698,1.376714,0.051777,-1.076407,-0.112804,-0.578945,pop
0.654674,-0.794583,1.10447,0.486998,1.496266,1.19232,0.913648,-0.289878,0.64806,1.041564,-0.512681,-0.764819,0.124787,1.015532,pop
1.709914,-1.395378,-2.164835,-0.806247,-0.365243,-1.012317,0.402652,-0.526463,-0.800855,-0.012941,-0.092728,-0.095845,-0.615211,0.775223,pop
1.685885,-0.776295,-1.933555,-0.812005,-1.914662,-0.811759,0.263905,-1.319641,-0.357979,1.100049,-0.43765,-0.43928,-1.830525,0.564748,pop
2.173216,-1.204336,-2.223208,-0.591316,-1.410343,-0.95965,0.35613,0.111384,-0.39111,1.887779,-0.581829,0.05321,-0.29209,0.419422,pop
1.18509,-0.545349,-2.617401,-0.998676,1.922876,-0.811186,-0.363194,-1.653914,0.98406,0.732335,-0.683839,0.285482,0.475749,-0.705075,pop
0.301999,-0.453415,-2.299323,-1.226402,0.161226,-0.761054,0.933767,-0.222745,0.297315,-0.715783,0.392158,-0.342228,1.080161,-0.087849,pop
-1.460235,-0.677421,3.397227,-1.192627,0.866433,-0.137849,-0.077365,-1.265545,1.984754,0.393667,1.125996,-1.268785,-0.593471,-0.551015,pop
-1.28862,-1.696879,2.373463,0.282825,1.038675,0.093871,0.168391,0.156356,2.012959,0.266719,1.295268,0.070756,0.232068,-0.289271,pop
-1.272627,-2.616694,4.373096,-1.002624,1.603893,-0.497017,0.451542,-0.452234,-1.487235,0.493217,0.04614,0.695319,0.204102,0.101245,pop
-0.363113,-0.510237,4.608715,-2.17814,1.529475,-0.568627,-0.387543,-0.820359,0.024792,0.006368,0.182036,-0.849751,0.573865,0.31859,pop
-0.889564,-0.761545,3.536195,-0.809048,0.86106,0.329409,0.712446,-0.524272,-1.197302,1.101166,0.019218,0.506393,0.284774,0.127329,pop
1.606815,-0.725956,-2.037564,0.419492,0.316087,0.228899,0.962194,0.149027,0.697569,1.478312,-0.286411,0.029666,-0.763087,-0.506578,pop
8.225934,-0.162765,-2.843516,-0.910126,1.848928,-1.55021,-5.805844,-3.594684,-0.724485,1.644512,-0.700049,2.310878,-0.919462,-0.014841,pop
2.127669,-0.55185,-1.866692,0.227357,2.160626,0.512224,1.003239,0.132917,0.17021,-1.163984,0.253424,-0.295431,-0.713495,0.576621,pop
3.647034,-0.503956,-2.718855,-1.025644,1.185398,-0.60108,-0.24123,-0.693214,0.171481,0.492112,0.8066,0.420445,-0.241192,0.817936,pop
5.288339,-1.519174,-1.746905,-0.483244,0.459717,-1.161193,-1.761644,-1.179484,-0.701744,0.841308,-0.631781,1.291554,0.263061,-0.480162,pop
0.610052,-3.407005,2.008844,-0.346702,-0.055702,-0.87909,0.051525,-0.588703,-0.906716,-1.497668,0.200183,-1.56552,-0.148913,0.118419,pop
-0.536769,-1.089555,1.871847,-0.149809,-0.115818,0.160104,0.174568,0.526262,-0.090035,0.417787,1.327057,-0.536781,0.372494,1.913927,pop
-0.876612,-3.576475,4.135993,-0.120069,-1.267046,-0.467141,-0.537125,-2.636764,-0.950207,-0.371788,0.147614,-2.144096,-0.585121,0.039191,pop
-0.416135,-0.461464,1.500964,-0.23889,0.098626,0.294261,0.522844,0.840229,0.573292,-0.219182,0.992823,0.192482,0.334854,1.192816,pop
-1.835352,1.117569,3.956958,1.824486,-0.457323,2.477605,-0.903186,-0.765333,0.337958,0.622732,-0.503302,0.235989,-0.174491,1.944774,pop
-2.851542,-1.522553,1.323499,0.261681,-0.41048,-0.138945,0.160794,0.093112,-0.274813,-0.33378,0.193328,0.193234,-0.177908,0.45498,pop
-3.283849,-1.118972,3.085467,0.124342,-0.630643,0.07257,0.002854,-0.407757,-0.197203,-0.185822,0.326849,-0.56821,-1.493646,-0.38076,pop
-1.94911,0.84868,1.512446,-2.133543,-0.828428,-1.020791,-0.106613,1.095371,1.215464,-0.511268,-0.334084,-0.277414,0.343771,-0.034597,pop
-2.204774,0.825783,2.495024,-1.510789,-1.064169,-0.300712,-0.128069,0.08154,-0.488859,-0.114795,-0.38803,-0.381303,-0.65977,0.535889,pop
1.171983,5.360701,0.455092,2.186607,0.023697,3.407275,-0.379125,0.20295,-0.204446,-0.297364,-0.615638,-1.233593,-1.603821,-0.460677,pop
1.083159,-0.283029,1.05955,-1.44865,0.471968,0.070314,1.887696,0.348853,-0.372575,0.673755,0.637401,-0.430743,0.486993,-0.01644,pop
0.134761,0.106504,0.561483,0.730919,0.409885,1.41324,1.543702,0.726,0.218451,0.682978,0.193009,0.167597,-0.327324,0.834635,pop
1.870825,1.398358,0.74256,-1.369954,1.189004,0.711996,1.64725,0.732978,-0.454946,0.028139,0.124905,0.37357,0.084048,0.435807,pop
0.466985,-0.563556,-0.157064,-0.727521,0.937119,0.401448,1.809683,-0.138211,0.686413,-0.244808,-0.216182,0.45827,-0.12318,0.240415,pop
-0.408203,-0.302005,0.376306,0.949698,-0.172027,1.16477,1.264737,0.651519,0.549707,1.267302,0.271877,0.060338,0.18966,0.399048,pop
-0.156373,1.351321,1.342377,-1.247556,-2.656923,0.208564,0.067783,-0.888065,0.157138,-0.858398,-0.055085,0.199094,-0.024804,0.37999,pop
-1.602189,0.895146,1.231551,-0.338785,1.11234,1.071942,0.481324,-1.01721,0.211367,0.620362,-1.047161,-0.169012,-0.595573,0.845068,pop
-1.274127,0.876783,1.326268,-1.061076,-2.826818,-0.127246,-0.18323,-0.345106,-0.040775,-0.518346,0.485828,0.242349,1.047435,0.554601,pop
-1.692983,-0.090262,0.858333,-0.376908,0.640435,0.652859,0.7938,-0.987045,0.272028,1.045615,-0.498588,0.186385,-0.015804,0.618561,pop
-1.320233,0.793672,1.551305,-1.694219,0.865362,0.091279,0.589417,-0.345008,-0.11881,0.78138,-0.176456,-0.114982,0.924649,0.070515,pop
-5.439017,-0.190767,-0.592073,0.638139,1.100833,-0.26491,-0.249123,0.026188,-0.221901,0.273155,-0.512704,0.177557,-0.250341,-0.841825,pop
-2.265908,1.619215,-0.960531,-1.123755,0.060204,-0.155741,0.576453,0.768706,1.242123,0.296707,-0.513752,-0.389988,-0.276753,0.153352,pop
-5.935679,-0.977749,-1.217781,1.033663,0.51293,-0.734484,-0.427229,0.546945,0.36176,0.663932,-0.249668,0.656964,-0.447355,-0.55414,pop
-5.214465,-1.023053,-1.348823,1.21532,1.836581,-0.301786,-0.4536,0.444101,-0.026859,-0.482889,0.057884,-0.25761,0.018449,0.384229,pop
-7.26641,-1.949925,-2.660165,2.117109,1.102665,-0.936261,-0.763212,0.17344,-1.355713,0.65609,-0.708636,0.415095,-0.48093,0.044542,pop
1.827554,-0.06817,1.042309,0.824277,-2.808608,0.681215,1.252012,1.652971,-0.824986,-0.122397,0.715022,0.784822,0.139615,-0.152985,pop
1.662807,-0.698451,0.743509,0.704557,-2.069944,0.535986,1.325414,1.310349,-1.044091,-0.576835,0.260596,0.556375,-0.220524,0.442244,pop
2.244859,-0.224399,0.599666,-0.395647,-2.964397,-0.132053,1.108165,1.203635,0.917943,-0.282973,1.454759,0.271227,0.068068,0.259987,pop
4.953343,-1.226274,0.326071,-0.865292,-1.526742,-0.831243,0.200957,0.092797,-0.026002,-0.788696,0.151489,0.829079,0.346267,-0.310643,pop
1.922413,-0.872749,0.303853,0.649509,1.637464,0.534485,1.138108,2.177176,1.001502,0.183262,0.984101,0.131292,0.152712,0.14339,pop
